"paramid","h_search","lindist","nind","net","mutrate","nbiallelic","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","ngraphs","prop_max_ndisp_eq_2"
"2-0.7-10000-1.25e-07-fleg",0,0.7,2,"fleg",1.25e-07,10000,0,0,0.14,504,0
"2-0.7-10000-1.25e-07-fleg",1,0.7,2,"fleg",1.25e-07,10000,0,0,0.66,11505,0.66
"2-0.7-10000-1.25e-07-fleg",4,0.7,2,"fleg",1.25e-07,10000,0,0,1,444821,1
"2-0.7-10000-1.25e-08-fleg",0,0.7,2,"fleg",1.25e-08,10000,0,0,0.11,500,0
"2-0.7-10000-1.25e-08-fleg",1,0.7,2,"fleg",1.25e-08,10000,0,0,0.75,13594,0.75
"2-0.7-10000-1.25e-08-fleg",4,0.7,2,"fleg",1.25e-08,10000,0,0,1,568926,1
"2-0.7-1e+05-1.25e-07-fleg",0,0.7,2,"fleg",1.25e-07,1e+05,0,0,0.07,500,0
"2-0.7-1e+05-1.25e-07-fleg",1,0.7,2,"fleg",1.25e-07,1e+05,0,0,0.17,752,0.13
"2-0.7-1e+05-1.25e-07-fleg",4,0.7,2,"fleg",1.25e-07,1e+05,0,0,0.95,93640,0.93
"2-0.7-1e+05-1.25e-08-fleg",0,0.7,2,"fleg",1.25e-08,1e+05,0,0,0.07,500,0
"2-0.7-1e+05-1.25e-08-fleg",1,0.7,2,"fleg",1.25e-08,1e+05,0,0,0.16,881,0.14
"2-0.7-1e+05-1.25e-08-fleg",4,0.7,2,"fleg",1.25e-08,1e+05,0.01,0,1,210582,1
