"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
3,"g2-l1-c43","1",2,"1","2","1","large",5,2,FALSE,0,2,1.6,2.74584662879991
3,"g2-l1-c43","2",2,"1","2","1","large",5,14,FALSE,0,1,1,12.2653728427377
3,"g2-l1-c44","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-16.5678427017218
3,"g2-l1-c44","1",2,"1","4","0","large",5,2,FALSE,0,2,1.6,0.109276348166608
3,"g2-l1-c44","2",2,"1","4","0","large",5,6,FALSE,0,2,1,7.66937595108142
3,"g2-l1-c45","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-314.192965100453
3,"g2-l1-c45","1",2,"1","4","0","large",5,2,FALSE,0,1,0.6,-27.0606148065592
3,"g2-l1-c45","2",2,"1","4","0","large",5,6,FALSE,0,2,1.2,6.77922070641736
3,"g2-l2-g33","0",2,"2","2","2","large",5,4,FALSE,0,1,0.4,-3.16548766389819
3,"g2-l2-g33","1",2,"2","2","2","large",5,2,FALSE,0,2,1.2,4.49695917154728
3,"g2-l2-g33","2",2,"2","2","2","large",5,6,FALSE,2,0,0,10.5157784726503
3,"g2-l2-g46","0",2,"2","4","0","large",5,10,FALSE,6,0,0,-2433.63256000808
3,"g2-l2-g46","1",2,"2","4","0","large",5,2,FALSE,0,1,0.6,-27.2188263950068
3,"g2-l2-g46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.6,2.96163016913888
3,"g2-l2-n04","0",2,"2","3","0","large",5,8,FALSE,2,0,0,-386.5521928488
3,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,-4.44499548038126
3,"g2-l2-n04","2",2,"2","3","0","large",5,6,FALSE,0,1,1,9.56836451093712
3,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-200.031216305267
3,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,0,2,1.2,-5.4632318586772
3,"g2-l2-n44","2",2,"2","4","0","large",5,6,FALSE,0,2,1.2,5.75691732960393
3,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2519.9453764101
3,"g2-l2-n46","1",2,"2","4","0","large",5,2,FALSE,0,2,0.8,-9.39090907051035
3,"g2-l2-n46","2",2,"2","4","0","large",5,2,FALSE,0,2,1.2,16.5828120714247
3,"g3-l3-c54","0",3,"3","6","0","large",5,10,FALSE,2,0,0,-2108.12543206724
3,"g3-l3-c54","1",3,"3","6","0","large",5,8,FALSE,4,0,0,-644.52140412329
3,"g3-l3-c54","3",3,"3","6","0","large",5,6,FALSE,2,2,1.8,8.29304001720881
3,"g3-ntc","0",3,"3","4","1","large",5,12,FALSE,4,0,0,-2019.8360991602
3,"g3-ntc","1",3,"3","4","1","large",5,6,FALSE,0,2,0.8,-142.924769347262
3,"g3-ntc","3",3,"3","4","1","large",5,4,FALSE,0,3,1.8,3.11020034659636
3,"g3-tc","0",3,"3","6","2","large",5,6,FALSE,2,1,0.4,-208.999584397422
